rule_set_id,highest_level_reading_course,gpa_cum,grade_level,english,cst,cst_english,transfer_level,levels_below_transfer,insufficient_data,
${rule_set_id},0,2.5,11,,,,Y,0,false,
${rule_set_id},0,1.5,11,,,,A,1,false,
${rule_set_id},0,1.3,11,,,,B,2,false,
${rule_set_id},0,,11,,,,D,4,false,
${rule_set_id},0,2.4,12,,,,Y,0,false,
${rule_set_id},0,2,12,1.7,,,A,1,false,false
${rule_set_id},0,1.8,12,,,,B,2,false,
${rule_set_id},0,,12,,,,D,4,false,
${rule_set_id},1,2.7,11,,,,A,1,false,
${rule_set_id},1,2.2,11,,,,B,2,false,
${rule_set_id},1,,11,2.3,,,C,3,false,
${rule_set_id},1,,11,,,,D,4,false,
${rule_set_id},1,2.6,12,,,,A,1,false,
${rule_set_id},1,2.4,12,,,,B,2,false,
${rule_set_id},1,1.5,12,,,,C,3,false,
${rule_set_id},1,,12,,,,E,5,false,
${rule_set_id},2,2.8,11,,,,B,2,false,
${rule_set_id},2,2.3,11,,,,C,3,false,
${rule_set_id},2,1.8,11,,,,D,4,false,
${rule_set_id},2,,11,,,,D,5,false,
${rule_set_id},2,2.9,12,,,,B,2,false,
${rule_set_id},2,,12,,292,,B,2,false,
${rule_set_id},2,2.5,12,,,,C,3,false,
${rule_set_id},2,1.9,12,2,,,C,3,false,
${rule_set_id},2,1.8,12,,,,D,4,false,
${rule_set_id},2,,12,,,,D,5,false,
