grade_level,gpa_cum,ap_any,math_ranking,stat,algebra_II_cst,alg_i_clut_1,english,cst,cst_english
11,3.6,,4.2,,,,3,,
11,3.2,,5.2,,,,,,
11,3.4,,2.2,,,,,,
11,2.6,,6,,,,,,
11,3.4,,2.2,,,,,,
11,3,,5.25,,,,,,
11,3,,2.3,,,,,,
11,3.2,,2.2,,,,,,
11,2.9,,5.2,,,,1.7,,
11,3.3,,1.2,,,,,,
11,3,,1.2,,,,,,
11,2.3,,5.2,,,,,286,
11,2.8,,1.1,,,,,,
11,2.4,,,,,,3,,
11,2,,,,,,,,
11,,,,,,,,,
12,3.1,,6,,,,,,
12,3.5,,4.2,,,,,,
12,3.3,,2.2,,,,2.3,,
12,3,,,,340,,,274,
12,3,,6.2,,,,,,310
12,3.3,,2.2,,,,,,
12,2.8,,5.2,,,,,234,
12,3.2,,2.2,,,,,,
12,3,,5,,,,3,,
12,3,,,2,,,,,
12,3.2,,1.2,,,,,,
12,2.9,,1.2,2,,,,,
12,3,,1.2,,,,,,
12,2.6,,5.2,,,,,278,
12,2.9,,1.1,,,,,,
12,2.5,,,,302,,,,
12,2.5,,5.2,,,,,236,
12,2.5,,,,,,,,
12,2,,,,302,,,,
12,2.3,,2.2,,,,,,
12,2.1,,,,,,,,
12,1.6,,,,,8,,,
12,,,,,,,,,
